"","gene_name","logFC","pvalue","hit_annotation","LipidProbe"
"1","ECH1",2.664716975,3.7e-08,"enriched hit","8-3 FA"
"2","VDAC2",1.74775987,4.74e-06,"enriched hit","8-3 FA"
"3","VDAC1",1.478023645,9e-05,"enriched hit","8-3 FA"
"4","PITPNB",1.276312876,0.000263314,"enriched candidate","8-3 FA"
"5","ACOX1",0.928759296,0.000458279,"enriched candidate","8-3 FA"
"6","ECHS1",0.766220518,0.000546877,"enriched candidate","8-3 FA"
"7","HADHA",0.5132901,0.000906302,"no hit","8-3 FA"
"8","PGAM1",-0.818936909,0.0009872,"no hit","8-3 FA"
"9","AASS",0.488481384,0.001034429,"no hit","8-3 FA"
"10","HSDL2",0.610660174,0.002152005,"no hit","8-3 FA"
"11","IDH3B",0.395130792,0.002909066,"no hit","8-3 FA"
"12","STRAP",-0.556502353,0.002949552,"no hit","8-3 FA"
"13","CNBP",-0.580426035,0.003743519,"no hit","8-3 FA"
"14","PCNA",-0.479467868,0.004928287,"no hit","8-3 FA"
"15","TXNL1",-0.611739785,0.004982888,"no hit","8-3 FA"
"16","RBM17",0.576627878,0.005130038,"no hit","8-3 FA"
"17","ATP6V0D1",0.532065261,0.005372437,"no hit","8-3 FA"
"18","MDH2",0.404079053,0.005385523,"no hit","8-3 FA"
"19","POLR1B",0.512364949,0.005743956,"no hit","8-3 FA"
"20","PECR",0.527179406,0.005916822,"no hit","8-3 FA"
"21","PPP2CB",-0.342447723,0.00612445,"no hit","8-3 FA"
"22","RNPEP",-0.483599013,0.006160161,"no hit","8-3 FA"
"23","PSMA6",-0.693623971,0.006575074,"no hit","8-3 FA"
"24","TRAP1",0.351975507,0.006723108,"no hit","8-3 FA"
"25","ME2",0.416208315,0.006908263,"no hit","8-3 FA"
"26","CLTA",-0.576110154,0.007111992,"no hit","8-3 FA"
"27","ARF4",-0.327593633,0.007416352,"no hit","8-3 FA"
"28","HADH",0.374735946,0.008045176,"no hit","8-3 FA"
"29","RRM1",-0.507382577,0.008143809,"no hit","8-3 FA"
"30","ATP6V1H",0.382164978,0.008291668,"no hit","8-3 FA"
"31","GNA11|GNAQ",0.498940718,0.009970572,"no hit","8-3 FA"
"32","HSD17B10",0.36441802,0.010326633,"no hit","8-3 FA"
"33","DDX39A",0.516209597,0.011230056,"no hit","8-3 FA"
"34","POR",0.37769653,0.011716548,"no hit","8-3 FA"
"35","HMGCL",0.434072693,0.012250946,"no hit","8-3 FA"
"36","TARS",-0.429618714,0.012619329,"no hit","8-3 FA"
"37","FASN",-0.402497132,0.01380088,"no hit","8-3 FA"
"38","MAP4",-0.588906804,0.014045288,"no hit","8-3 FA"
"39","RSF1",0.756673815,0.014133346,"no hit","8-3 FA"
"40","PPP6C",-0.362700373,0.014852935,"no hit","8-3 FA"
"41","FNTA",-0.444871907,0.015210274,"no hit","8-3 FA"
"42","NAP1L1",-0.47412014,0.015557948,"no hit","8-3 FA"
"43","COPZ1",-0.44032219,0.015876909,"no hit","8-3 FA"
"44","ABCF1",-0.41448882,0.017126081,"no hit","8-3 FA"
"45","VPS29",-0.288903698,0.017129651,"no hit","8-3 FA"
"46","NPLOC4",-0.263805937,0.018087173,"no hit","8-3 FA"
"47","HK1",0.285241316,0.018415022,"no hit","8-3 FA"
"48","NASP",-0.552177104,0.018859425,"no hit","8-3 FA"
"49","TMEM189-UBE2V1|UBE2V1",-0.622420623,0.019889455,"no hit","8-3 FA"
"50","PMPCA",0.282883474,0.0206306,"no hit","8-3 FA"
"51","ATIC",-0.459836298,0.020776817,"no hit","8-3 FA"
"52","CRTAP",0.30216639,0.020819898,"no hit","8-3 FA"
"53","PSMC5",-0.263335953,0.02083884,"no hit","8-3 FA"
"54","SCP2",0.331881704,0.021033252,"no hit","8-3 FA"
"55","DNMT1",-0.257041506,0.021068569,"no hit","8-3 FA"
